instance,N,opt,grasp,t(grasp),grasp-pr,t(grasp-pr),result
C1000.9,1000,932,960,138.03,955,971.3870000000001,better
C125.9,125,91,99,15.794,95,121.134,better
C2000.5,2000,1984,1993,476.428,1993,400.149,equal
C2000.9,2000,1923,1959,500.964,1960,381.389,worse
C250.9,250,206,213,123.46300000000001,211,132.661,better
C4000.5,4000,3982,3993,2959.1240000000003,3993,2623.6620000000003,equal
C500.9,500,443,456,121.269,458,138.077,worse
MANN_a27,378,252,286,23.609,282,139.409,better
MANN_a45,1035,690,889,121.756,845,524.635,better
MANN_a81,3321,2221,3172,229.48000000000002,3201,230.288,worse
MANN_a9,45,29,30,0.6970000000000001,30,4.011,equal
brock200_1,200,179,182,120.538,182,124.884,equal
brock200_2,200,188,192,92.07600000000001,191,123.218,better
brock200_3,200,185,189,103.807,189,121.58,equal
brock200_4,200,183,188,107.953,187,127.516,better
brock400_1,400,373,383,129.979,383,121.869,equal
brock400_2,400,371,383,124.583,382,128.77,better
brock400_3,400,369,383,127.366,382,146.044,better
brock400_4,400,367,383,126.028,382,130.226,better
brock800_1,800,777,788,163.011,788,136.536,equal
brock800_2,800,776,788,211.958,788,222.415,equal
brock800_3,800,775,788,179.431,788,132.891,equal
brock800_4,800,774,788,147.088,788,212.016,equal
c-fat200-1,200,188,194,80.992,193,93.505,better
c-fat200-2,200,176,176,54.373000000000005,176,56.638,equal
c-fat200-5,200,142,142,42.126,142,39.37,equal
c-fat500-1,500,486,497,139.526,497,138.953,equal
c-fat500-10,500,127,374,131.423,374,128.913,equal
c-fat500-2,500,474,495,140.941,492,127.131,better
c-fat500-5,500,448,436,133.071,436,138.989,equal
gen200_p0.9_44,200,156,168,48.874,167,126.286,better
gen200_p0.9_55,200,146,166,51.004,162,160.20600000000002,better
gen400_p0.9_55,400,345,360,123.872,361,130.418,worse
gen400_p0.9_65,400,335,360,130.179,359,173.249,better
gen400_p0.9_75,400,325,357,120.507,357,144.20000000000002,equal
hamming10-2,1024,512,913,121.159,865,75433.594,better
hamming10-4,1024,984,999,133.30700000000002,999,129.52700000000002,equal
hamming6-2,64,30,45,2.932,43,11.664,better
hamming6-4,64,60,60,13.338000000000001,60,19.264,equal
hamming8-2,256,128,190,24.889,184,123.266,better
hamming8-4,256,240,245,126.699,243,122.587,better
johnson16-2-4,120,112,112,26.1,112,46.343,equal
johnson32-2-4,496,480,480,122.11800000000001,480,138.178,equal
johnson8-4-4,70,56,60,11.884,59,22.353,better
keller4,171,160,160,117.45400000000001,162,124.375,worse
keller5,776,749,759,147.933,760,199.066,worse
keller6,3361,3302,3336,1967.391,3342,1290.933,worse
p_hat1000-1,1000,900,994,202.781,995,137.6,worse
p_hat1000-2,1000,954,980,142.674,982,233.263,worse
p_hat1000-3,1000,934,962,252.06900000000002,970,124.052,worse
p_hat1500-1,1500,1406,1495,229.304,1496,179.703,worse
p_hat300-1,300,292,295,124.07900000000001,294,125.268,better
p_hat300-2,300,275,280,142.957,282,147.245,worse
p_hat300-3,300,274,271,125.415,273,132.799,worse
p_hat500-1,500,491,494,128.703,495,142.32,worse
p_hat500-2,500,464,482,125.79,477,147.201,better
p_hat500-3,500,450,465,140.858,467,330.379,worse
p_hat700-1,700,689,695,135.631,696,125.718,worse
p_hat700-2,700,656,675,174.519,671,475.709,better
p_hat700-3,700,638,659,185.167,659,124.381,equal
san1000,1000,900,992,266.562,992,340.053,equal
san200_0.7_1,200,170,184,124.65,184,122.551,equal
san200_0.7_2,200,182,187,120.548,188,129.95,worse
san200_0.9_1,200,130,157,32.797000000000004,155,121.764,better
san200_0.9_2,200,140,164,38.819,156,151.185,better
san200_0.9_3,200,156,171,49.423,169,126.535,better
san400_0.5_1,400,387,393,120.887,393,205.744,equal
san400_0.7_1,400,360,380,123.906,380,195.122,equal
san400_0.7_2,400,370,385,141.257,385,199.368,equal
san400_0.7_3,400,378,387,139.65800000000002,388,148.752,worse
san400_0.9_1,400,300,350,126.36200000000001,350,156.897,equal
sanr200_0.9,200,158,168,55.943,164,134.572,better
sanr400_0.5,400,387,392,134.881,392,125.108,equal
sanr400_0.7,400,379,387,128.613,385,131.351,better
