instance,N,opt,greedy,t(greedy),rm-greedy,t(rm-greedy)
brock200_1,200,179,189,28.0,188,137.0
brock200_2,200,188,193,41.0,193,148.0
brock200_3,200,185,192,33.0,192,119.0
brock200_4,200,183,189,15.0,189,125.0
brock400_1,400,373,389,171.0,387,722.0
brock400_2,400,371,388,170.0,388,425.0
brock400_3,400,369,387,156.0,386,586.0
brock400_4,400,367,387,171.0,386,785.0
brock800_1,800,777,789,1837.0,788,4044.0
brock800_2,800,776,789,1860.0,789,3452.0
brock800_3,800,775,792,1884.0,791,4002.0
brock800_4,800,774,792,1810.0,790,6152.0
C125.9,125,91,99,1.0,98,74.0
C250.9,250,206,222,17.0,221,378.0
C500.9,500,443,466,140.0,468,1564.0
C1000.9,1000,932,969,1108.0,972,22104.0
C2000.5,2000,1984,1994,41991.0,1994,717566.0
C2000.9,2000,1923,1971,8807.0,1972,147359.0
C4000.5,4000,3982,3993,340422.0,3993,29107703.0
c-fat200-1,200,188,188,78.0,188,391.0
c-fat200-2,200,176,176,77.0,176,1742.0
c-fat200-5,200,142,142,64.0,142,1485.0
c-fat500-1,500,486,486,1164.0,497,23960.0
c-fat500-2,500,474,474,1220.0,497,22463.0
c-fat500-5,500,448,436,1276.0,436,25009.0
c-fat500-10,500,127,374,1114.0,374,27201.0
gen200_p0.9_44,200,156,173,23.0,173,123.0
gen200_p0.9_55,200,146,169,8.0,170,115.0
gen400_p0.9_55,400,345,369,80.0,367,807.0
gen400_p0.9_65,400,335,373,69.0,371,784.0
gen400_p0.9_75,400,325,369,71.0,368,809.0
hamming6-2,64,30,32,0.0,51,13.0
hamming6-4,64,60,60,2.0,62,30.0
hamming8-2,256,128,128,7.0,212,106.0
hamming8-4,256,240,240,65.0,251,769.0
hamming10-2,1024,512,512,141.0,876,2028.0
hamming10-4,1024,984,992,2295.0,1017,23086.0
johnson8-4-4,70,56,56,0.0,65,16.0
johnson16-2-4,120,112,112,0.0,115,66.0
johnson32-2-4,496,480,480,184.0,485,2057.0
keller4,171,160,163,15.0,165,246.0
keller5,776,749,759,1395.0,764,14463.0
keller6,3361,3302,3324,84501.0,3331,861257.0
MANN_a9,45,29,33,0.0,32,0.0
MANN_a27,378,252,261,15.0,260,96.0
MANN_a45,1035,690,705,62.0,705,635.0
MANN_a81,3321,2221,2241,556.0,2241,6507.0
p_hat300-1,300,292,296,215.0,297,2093.0
p_hat300-2,300,275,282,138.0,281,1477.0
p_hat300-3,300,274,275,70.0,274,759.0
p_hat500-1,500,491,494,1000.0,496,9635.0
p_hat500-2,500,464,476,650.0,476,6527.0
p_hat500-3,500,450,461,312.0,461,3469.0
p_hat700-1,700,689,696,2595.0,696,25927.0
p_hat700-2,700,656,667,1971.0,666,18498.0
p_hat700-3,700,638,654,945.0,652,9793.0
p_hat1000-1,1000,900,994,7439.0,997,73860.0
p_hat1000-2,1000,954,966,5154.0,964,51385.0
p_hat1000-3,1000,934,952,2622.0,949,27738.0
p_hat1500-1,1500,1406,1493,27057.0,1493,268227.0
san200_0.7_1,200,170,186,31.0,187,341.0
san200_0.7_2,200,182,188,25.0,188,311.0
san200_0.9_1,200,130,155,9.0,155,149.0
san200_0.9_2,200,140,167,10.0,166,120.0
san200_0.9_3,200,156,176,9.0,176,116.0
san400_0.5_1,400,387,393,333.0,393,3534.0
san400_0.7_1,400,360,381,203.0,389,2193.0
san400_0.7_2,400,370,386,203.0,385,2407.0
san400_0.7_3,400,378,388,204.0,388,2384.0
san400_0.9_1,400,300,372,78.0,374,804.0
san1000,1000,900,992,5429.0,992,54063.0
sanr200_0.9,200,158,171,11.0,171,119.0
sanr400_0.5,400,387,393,321.0,395,3401.0
sanr400_0.7,400,379,390,195.0,391,2109.0
