instance,population,crossover,mutation,stability,runtime,result
MANN_a9,60,0.7,0.1,5,667,29
hamming6-2,60,0.7,0.1,5,1623,33
johnson8-4-4,60,0.7,0.1,5,574,63
johnson16-2-4,60,0.7,0.1,5,1135,113
C125.9,60,0.7,0.1,5,766,96
keller4,60,0.7,0.1,5,3120,163
brock200_4,60,0.7,0.1,5,4151,189
C250.9,60,0.7,0.1,5,3775,215
hamming8-2,60,0.7,0.1,5,12311,144
p_hat300-3,60,0.7,0.1,5,9940,270
MANN_a27,60,0.7,0.1,5,1074,260
brock400_3,60,0.7,0.1,5,24095,385
johnson32-2-4,60,0.7,0.1,5,21426,484
p_hat500-1,60,0.7,0.1,5,133237,491
p_hat700-2,60,0.7,0.1,5,232951,662
MANN_a9,60,0.7,0.1,5,642,29
keller5,60,0.7,0.1,5,164229,760
MANN_a9,60,0.7,0.1,5,469,29
hamming6-2,60,0.7,0.1,5,1455,33
johnson8-4-4,60,0.7,0.1,5,528,63
johnson16-2-4,60,0.7,0.1,5,1130,113
C125.9,60,0.7,0.1,5,759,96
keller4,60,0.7,0.1,5,3108,163
brock800_3,60,0.7,0.1,5,256812,786
MANN_a9,60,0.7,0.1,5,298,29
hamming6-2,60,0.7,0.1,5,1427,33
johnson8-4-4,60,0.7,0.1,5,563,63
johnson16-2-4,60,0.7,0.1,5,1327,113
C125.9,60,0.7,0.1,5,1070,96
keller4,60,0.7,0.1,5,3329,163
p_hat1000-1,60,0.7,0.1,5,1149750,993
hamming10-4,60,0.7,0.1,5,232363,1012
brock800_4,60,0.7,0.1,5,231033,787
keller5,60,0.7,0.1,5,148180,760
p_hat1000-3,60,0.7,0.1,5,308675,945
