instance,N,opt,result,runtime
MANN_a9,45,29,29,0.67
hamming6-2,64,30,33,1.62
johnson8-4-4,70,56,63,0.57
johnson16-2-4,120,112,113,1.14
C125.9,125,91,96,0.77
keller4,171,160,163,3.12
brock200_4,200,183,189,4.15
C250.9,250,206,215,3.78
hamming8-2,256,128,144,12.31
p_hat300-3,300,274,270,9.94
MANN_a27,378,252,260,1.07
brock400_3,400,369,385,24.1
johnson32-2-4,496,480,484,21.43
p_hat500-1,500,491,491,133.24
p_hat700-2,700,656,662,232.95
keller5,776,749,760,164.23
brock800_4,800,774,787,231.03
brock800_3,800,775,786,256.81
p_hat1000-1,1000,900,993,1149.75
p_hat1000-3,1000,934,945,308.68
hamming10-4,1024,984,1012,232.36
